"Date","Open","High","Low","Close","Volume","Adj Close","Pt / Pt-1","Log Pt / Pt-1"
12/09/10 12:00 AM,1230.14,1234.71,1226.85,1233,4522510000,1233,1.0038428,0.0016657
12/08/10 12:00 AM,1225.02,1228.93,1219.5,1228.28,4607590000,1228.28,1.0037017,0.0016047
12/07/10 12:00 AM,1227.25,1235.05,1223.25,1223.75,6970630400,1223.75,1.0005151,0.0002236
12/06/10 12:00 AM,1223.87,1225.8,1220.67,1223.12,3527370000,1223.12,0.9987017,-0.0005642
12/03/10 12:00 AM,1219.93,1225.57,1216.82,1224.71,3735780000,1224.71,1.0026033,0.0011291
12/02/10 12:00 AM,1206.81,1221.89,1206.81,1221.53,4970800000,1221.53,1.0128185,0.0055316
12/01/10 12:00 AM,1186.6,1207.61,1186.6,1206.07,4548110000,1206.07,1.0216170,0.0092881
11/30/10 12:00 AM,1182.96,1187.4,1174.14,1180.55,4284700000,1180.55,0.9939298,-0.0026443
11/29/10 12:00 AM,1189.08,1190.34,1173.64,1187.76,3673450000,1187.76,0.9986212,-0.0005992
11/26/10 12:00 AM,1194.16,1194.16,1186.93,1189.4,1613820000,1189.4,0.9925314,-0.0032557
11/24/10 12:00 AM,1183.7,1198.62,1183.7,1198.35,3384250000,1198.35,1.0149230,0.0064331
11/23/10 12:00 AM,1192.51,1192.51,1176.91,1180.73,4133070000,1180.73,0.9857160,-0.0062482
11/22/10 12:00 AM,1198.07,1198.94,1184.58,1197.84,3689500000,1197.84,0.9984246,-0.0006847
11/19/10 12:00 AM,1196.12,1199.97,1189.44,1199.73,3675390000,1199.73,1.0025403,0.0011019
11/18/10 12:00 AM,1183.75,1200.29,1183.75,1196.69,4687260000,1196.69,1.0153573,0.0066189
11/17/10 12:00 AM,1178.33,1183.56,1175.82,1178.59,3904780000,1178.59,1.0002122,0.0000921
11/16/10 12:00 AM,1194.79,1194.79,1173,1178.34,5116380000,1178.34,0.9837946,-0.0070956
11/15/10 12:00 AM,1200.44,1207.43,1197.15,1197.75,3503370000,1197.75,0.9987825,-0.0005291
11/12/10 12:00 AM,1209.07,1210.5,1194.08,1199.21,4213620000,1199.21,0.9881916,-0.0051589
11/11/10 12:00 AM,1213.04,1215.45,1204.49,1213.54,3931120000,1213.54,0.9957578,-0.0018463
11/10/10 12:00 AM,1213.14,1218.75,1204.33,1218.71,4561300000,1218.71,1.0043761,0.0018964
11/09/10 12:00 AM,1223.59,1226.84,1208.94,1213.4,4848040000,1213.4,0.9919477,-0.0035112
11/08/10 12:00 AM,1223.24,1224.57,1217.55,1223.25,3937230000,1223.25,0.9978790,-0.0009221
11/05/10 12:00 AM,1221.2,1227.08,1220.29,1225.85,5637460000,1225.85,1.0039228,0.0017003
11/04/10 12:00 AM,1198.34,1221.25,1198.34,1221.06,5695470000,1221.06,1.0192828,0.0082947
11/03/10 12:00 AM,1193.79,1198.3,1183.56,1197.96,4665480000,1197.96,1.0036780,0.0015944
11/02/10 12:00 AM,1187.86,1195.88,1187.86,1193.57,3866200000,1193.57,1.0077593,0.0033568
11/01/10 12:00 AM,1185.71,1195.81,1177.65,1184.38,4129180000,1184.38,1.0009465,0.0004109
10/29/10 12:00 AM,1183.87,1185.46,1179.7,1183.26,3537880000,1183.26,0.9995607,-0.0001908
10/28/10 12:00 AM,1184.47,1189.53,1177.1,1183.78,4283460000,1183.78,1.0011248,0.0004882
10/27/10 12:00 AM,1183.84,1183.84,1171.7,1182.45,4335670000,1182.45,0.9973095,-0.0011701
10/26/10 12:00 AM,1184.88,1187.11,1177.72,1185.64,4203680000,1185.64,1.0000169,0.0000073
10/25/10 12:00 AM,1184.74,1196.14,1184.74,1185.62,4221380000,1185.62,1.0021469,0.0009314
10/22/10 12:00 AM,1180.52,1183.93,1178.99,1183.08,3177890000,1183.08,1.0023893,0.0010364
10/21/10 12:00 AM,1179.82,1189.43,1171.17,1180.26,4625470000,1180.26,1.0017739,0.0007697
10/20/10 12:00 AM,1166.74,1182.94,1166.74,1178.17,5027880000,1178.17,1.0105241,0.0045467
10/19/10 12:00 AM,1178.64,1178.64,1159.71,1165.9,5600120000,1165.9,0.9841227,-0.0069508
10/18/10 12:00 AM,1176.83,1185.53,1174.55,1184.71,4450050000,1184.71,1.0072437,0.0031346
10/15/10 12:00 AM,1177.47,1181.2,1167.12,1176.19,5724910000,1176.19,1.0020276,0.0008797
10/14/10 12:00 AM,1177.82,1178.89,1166.71,1173.81,4969410000,1173.81,0.9963585,-0.0015844
10/13/10 12:00 AM,1171.32,1184.38,1171.32,1178.1,4969410000,1178.1,1.0071211,0.0030817
10/12/10 12:00 AM,1164.28,1172.58,1155.71,1169.77,4076170000,1169.77,1.0038187,0.0016553
10/11/10 12:00 AM,1165.32,1168.68,1162.02,1165.32,2505900000,1165.32,1.0001459,0.0000634
10/08/10 12:00 AM,1158.36,1167.73,1155.58,1165.15,3871420000,1165.15,1.0061223,0.0026508
10/07/10 12:00 AM,1161.57,1163.87,1151.41,1158.06,3910550000,1158.06,0.9983534,-0.0007157
10/06/10 12:00 AM,1159.81,1162.33,1154.85,1159.97,4073160000,1159.97,0.9993280,-0.0002919
10/05/10 12:00 AM,1140.68,1162.76,1140.68,1160.75,4068840000,1160.75,1.0208614,0.0089668
10/04/10 12:00 AM,1144.96,1148.16,1131.87,1137.03,3604110000,1137.03,0.9919650,-0.0035036
10/01/10 12:00 AM,1143.49,1150.3,1139.42,1146.24,4298910000,1146.24,1.0044164,0.0019138
09/30/10 12:00 AM,1145.97,1157.16,1136.08,1141.2,4284160000,1141.2,0.9969163,-0.0013413
09/29/10 12:00 AM,1146.75,1148.63,1140.26,1144.73,3990280000,1144.73,0.9974122,-0.0011253
09/28/10 12:00 AM,1142.31,1150,1132.09,1147.7,4025840000,1147.7,1.0048505,0.0021014
09/27/10 12:00 AM,1148.64,1149.92,1142,1142.16,3587860000,1142.16,0.9943326,-0.0024683
09/24/10 12:00 AM,1131.69,1148.9,1131.69,1148.67,4123950000,1148.67,1.0211943,0.0091084
09/23/10 12:00 AM,1131.1,1136.77,1122.79,1124.83,3847850000,1124.83,0.9916687,-0.0036334
09/22/10 12:00 AM,1139.49,1144.38,1131.58,1134.28,3911070000,1134.28,0.9951745,-0.0021008
09/21/10 12:00 AM,1142.82,1148.59,1136.22,1139.78,4175660000,1139.78,0.9974359,-0.0011150
09/20/10 12:00 AM,1126.57,1144.86,1126.57,1142.71,3364080000,1142.71,1.0152098,0.0065558
09/17/10 12:00 AM,1126.39,1131.47,1122.43,1125.59,4086140000,1125.59,1.0008269,0.0003590
09/16/10 12:00 AM,1123.89,1125.44,1118.88,1124.66,3364080000,1124.66,0.9996356,-0.0001583
09/15/10 12:00 AM,1119.43,1126.46,1114.63,1125.07,3369840000,1125.07,1.0035412,0.0015352
09/14/10 12:00 AM,1121.16,1127.36,1115.58,1121.1,4521050000,1121.1,0.9992869,-0.0003098
09/13/10 12:00 AM,1113.38,1123.87,1113.38,1121.9,4521050000,1121.9,1.0111306,0.0048073
09/10/10 12:00 AM,1104.57,1110.88,1103.92,1109.55,3061160000,1109.55,1.0048633,0.0021070
09/09/10 12:00 AM,1101.15,1110.27,1101.15,1104.18,3387770000,1104.18,1.0048322,0.0020936
09/08/10 12:00 AM,1092.36,1103.26,1092.36,1098.87,3224640000,1098.87,1.0064387,0.0027873
09/07/10 12:00 AM,1102.6,1102.6,1091.15,1091.84,3107380000,1091.84,0.9885288,-0.0050107
09/03/10 12:00 AM,1093.61,1105.1,1093.61,1104.51,3534500000,1104.51,1.0132190,0.0057033
09/02/10 12:00 AM,1080.66,1090.1,1080.39,1090.1,3704210000,1090.1,1.0090809,0.0039260
09/01/10 12:00 AM,1049.72,1081.3,1049.72,1080.29,4396880000,1080.29,1.0295045,0.0126283
08/31/10 12:00 AM,1046.88,1055.14,1040.88,1049.33,4038770000,1049.33,1.0003909,0.0001697
08/30/10 12:00 AM,1062.9,1064.4,1048.79,1048.92,2917990000,1048.92,0.9852807,-0.0064400
08/27/10 12:00 AM,1049.27,1065.21,1039.7,1064.59,4102460000,1064.59,1.0165868,0.0071445
08/26/10 12:00 AM,1056.28,1061.45,1045.4,1047.22,3646710000,1047.22,0.9923152,-0.0033504
